1 1 root#INSERT reduction
2 3 dmlStatement#INSERT reduction
3 112 insertStatement#INSERT reduction
4 115 insertKeyword#INSERT reduction
5 / INSERT#INSERT move
6 116 into#INTO reduction
7 / INTO#INTO move
8 44 tableName#IDN reduction
9 48 uid#IDN reduction
10 / IDN#IDN move
11 113 insertStatementRight#VALUES reduction
12 118 insertStatementValue#VALUES reduction
13 119 insertFormat#VALUES reduction
14 / VALUES#VALUES move
15 / (#( move
16 123 expressionsWithDefaults#INT reduction
17 127 expressionOrDefault#INT reduction
18 58 expression#INT reduction
19 72 predicate#INT reduction
20 75 expressionAtom#INT reduction
21 80 constant#INT reduction
22 84 decimalLiteral#INT reduction
23 / INT#INT move
24 74 predicateRight#, reduction
25 61 expressionRight#, reduction
26 125 expressionOrDefaultListRec#, reduction
27 / ,#, move
28 127 expressionOrDefault#FLOAT reduction
29 58 expression#FLOAT reduction
30 72 predicate#FLOAT reduction
31 75 expressionAtom#FLOAT reduction
32 80 constant#FLOAT reduction
33 83 decimalLiteral#FLOAT reduction
34 / FLOAT#FLOAT move
35 74 predicateRight#, reduction
36 61 expressionRight#, reduction
37 125 expressionOrDefaultListRec#, reduction
38 / ,#, move
39 127 expressionOrDefault#STRING reduction
40 58 expression#STRING reduction
41 72 predicate#STRING reduction
42 75 expressionAtom#STRING reduction
43 79 constant#STRING reduction
44 97 stringLiteral#STRING reduction
45 / STRING#STRING move
46 74 predicateRight#) reduction
47 61 expressionRight#) reduction
48 126 expressionOrDefaultListRec#) reduction
49 / )#) move
50 122 expressionsWithDefaultsListRec# reduction
51 / # accept
