1	/	##SELECT	move
2	14	unionType#IDN	reduction
3	/	unionType#IDN	move
4	48	uid#.	reduction
5	/	uid#.	move
6	/	.#IDN	move
7	48	uid#,	reduction
8	52	dottedIdOrStar#,	reduction
9	50	dottedId#,	reduction
10	49	fullColumnName#,	reduction
11	35	elementNameAlias#,	reduction
12	31	selectElement#,	reduction
13	28	selectElementHead#,	reduction
14	/	selectElementHead#,	move
15	/	,#SUM	move
16	105	function#(	reduction
17	/	function#(	move
18	14	unionType#IDN	reduction
19	/	unionType#IDN	move
20	48	uid#.	reduction
21	/	uid#.	move
22	/	.#IDN	move
23	48	uid#)	reduction
24	52	dottedIdOrStar#)	reduction
25	50	dottedId#)	reduction
26	49	fullColumnName#)	reduction
27	/	fullColumnName#)	move
28	101	aggregateWindowedFunction#FROM	reduction
29	100	functionCall#FROM	reduction
30	35	elementNameAlias#FROM	reduction
31	32	selectElement#FROM	reduction
32	30	selectElementListRec#FROM	reduction
33	29	selectElementListRec#FROM	reduction
34	26	selectElements#FROM	reduction
35	/	selectElements#FROM	move
36	/	FROM#IDN	move
37	48	uid#JOIN	reduction
38	44	tableName#JOIN	reduction
39	35	elementNameAlias#JOIN	reduction
40	42	tableSourceItem#JOIN	reduction
41	/	tableSourceItem#JOIN	move
42	/	JOIN#IDN	move
43	48	uid#ON	reduction
44	44	tableName#ON	reduction
45	35	elementNameAlias#ON	reduction
46	42	tableSourceItem#ON	reduction
47	/	tableSourceItem#ON	move
48	/	ON#IDN	move
49	48	uid#.	reduction
50	/	uid#.	move
51	/	.#IDN	move
52	48	uid#=	reduction
53	52	dottedIdOrStar#=	reduction
54	50	dottedId#=	reduction
55	49	fullColumnName#=	reduction
56	76	expressionAtom#=	reduction
57	/	expressionAtom#=	move
58	85	comparisonOperator#IDN	reduction
59	/	comparisonOperator#IDN	move
60	48	uid#.	reduction
61	/	uid#.	move
62	/	.#IDN	move
63	48	uid#WHERE	reduction
64	52	dottedIdOrStar#WHERE	reduction
65	50	dottedId#WHERE	reduction
66	49	fullColumnName#WHERE	reduction
67	76	expressionAtom#WHERE	reduction
68	74	predicateRight#WHERE	reduction
69	72	predicate#WHERE	reduction
70	73	predicateRight#WHERE	reduction
71	72	predicate#WHERE	reduction
72	61	expressionRight#WHERE	reduction
73	58	expression#WHERE	reduction
74	108	joinRightPart#WHERE	reduction
75	106	joinPart#WHERE	reduction
76	41	joinParts#WHERE	reduction
77	40	joinParts#WHERE	reduction
78	39	tableSource#WHERE	reduction
79	38	tableSourceListRec#WHERE	reduction
80	36	tableSources#WHERE	reduction
81	/	tableSources#WHERE	move
82	/	WHERE#IDN	move
83	48	uid#.	reduction
84	/	uid#.	move
85	/	.#IDN	move
86	48	uid#>	reduction
87	52	dottedIdOrStar#>	reduction
88	50	dottedId#>	reduction
89	49	fullColumnName#>	reduction
90	76	expressionAtom#>	reduction
91	/	expressionAtom#>	move
92	86	comparisonOperator#INT	reduction
93	/	comparisonOperator#INT	move
94	84	decimalLiteral#AND	reduction
95	80	constant#AND	reduction
96	75	expressionAtom#AND	reduction
97	74	predicateRight#AND	reduction
98	72	predicate#AND	reduction
99	73	predicateRight#AND	reduction
100	72	predicate#AND	reduction
101	/	predicate#AND	move
102	92	logicalOperator#IDN	reduction
103	/	logicalOperator#IDN	move
104	48	uid#.	reduction
105	/	uid#.	move
106	/	.#IDN	move
107	48	uid#<	reduction
108	52	dottedIdOrStar#<	reduction
109	50	dottedId#<	reduction
110	49	fullColumnName#<	reduction
111	76	expressionAtom#<	reduction
112	/	expressionAtom#<	move
113	87	comparisonOperator#FLOAT	reduction
114	/	comparisonOperator#FLOAT	move
115	83	decimalLiteral#OR	reduction
116	80	constant#OR	reduction
117	75	expressionAtom#OR	reduction
118	74	predicateRight#OR	reduction
119	72	predicate#OR	reduction
120	73	predicateRight#OR	reduction
121	72	predicate#OR	reduction
122	/	predicate#OR	move
123	95	logicalOperator#FLOAT	reduction
124	/	logicalOperator#FLOAT	move
125	83	decimalLiteral#IS	reduction
126	80	constant#IS	reduction
127	75	expressionAtom#IS	reduction
128	74	predicateRight#IS	reduction
129	72	predicate#IS	reduction
130	/	predicate#IS	move
131	/	IS#NOT	move
132	64	oppositeOrNot#NULL	reduction
133	/	oppositeOrNot#NULL	move
134	68	nullValue#GROUP BY	reduction
135	66	nullOrTrueValue#GROUP BY	reduction
136	60	expressionRight#GROUP BY	reduction
137	58	expression#GROUP BY	reduction
138	59	expressionRight#GROUP BY	reduction
139	58	expression#GROUP BY	reduction
140	59	expressionRight#GROUP BY	reduction
141	58	expression#GROUP BY	reduction
142	132	whereExpression#GROUP BY	reduction
143	18	fromClause#GROUP BY	reduction
144	/	fromClause#GROUP BY	move
145	/	GROUP BY#IDN	move
146	48	uid#.	reduction
147	/	uid#.	move
148	/	.#IDN	move
149	48	uid#HAVING	reduction
150	52	dottedIdOrStar#HAVING	reduction
151	50	dottedId#HAVING	reduction
152	49	fullColumnName#HAVING	reduction
153	76	expressionAtom#HAVING	reduction
154	74	predicateRight#HAVING	reduction
155	72	predicate#HAVING	reduction
156	61	expressionRight#HAVING	reduction
157	58	expression#HAVING	reduction
158	56	expressionRec#HAVING	reduction
159	54	expressions#HAVING	reduction
160	20	groupByClause#HAVING	reduction
161	/	groupByClause#HAVING	move
162	/	HAVING#IDN	move
163	48	uid#.	reduction
164	/	uid#.	move
165	/	.#IDN	move
166	48	uid#=	reduction
167	52	dottedIdOrStar#=	reduction
168	50	dottedId#=	reduction
169	49	fullColumnName#=	reduction
170	76	expressionAtom#=	reduction
171	/	expressionAtom#=	move
172	85	comparisonOperator#STRING	reduction
173	/	comparisonOperator#STRING	move
174	97	stringLiteral#	reduction
175	79	constant#	reduction
176	75	expressionAtom#	reduction
177	74	predicateRight#	reduction
178	72	predicate#	reduction
179	73	predicateRight#	reduction
180	72	predicate#	reduction
181	61	expressionRight#	reduction
182	58	expression#	reduction
183	22	havingClause#	reduction
184	25	orderByClause#	reduction
185	17	selectClause#	reduction
186	15	querySpecification#	reduction
187	8	unionStatements#	reduction
188	6	selectStatement#	reduction
189	2	dmlStatement#	reduction
